﻿Ranking,Title,Rating,Director,Actors,Duration,Relaese Time,Type,Making Area,Cumulative_income(ten thousand unit),Movie Information
﻿68,让子弹飞,8.5,姜文,"姜文,周润发,葛优",132分钟,2010-12-16,"['剧情', '喜剧', '动作', '西部']","中国大陆,中国香港",63675,http://maoyan.com/films/182
﻿69,爱在日落黄昏时,8.7,理查德·林克莱特,"伊桑·霍克,朱莉·德尔佩,弗农·多布切夫",80分钟,2015-04-20,"['剧情', '爱情']",美国,,http://maoyan.com/films/1287
﻿70,穿条纹睡衣的男孩,9.0,马克·赫尔曼,"阿沙·巴特菲尔德,维拉·法梅加,大卫·休里斯",94分钟,2008-08-28(英国),"['剧情', '战争']","英国,美国",,http://maoyan.com/films/38099
﻿71,阿凡达,9.4,詹姆斯·卡梅隆,"萨姆·沃辛顿,佐伊·索尔达娜,米歇尔·罗德里格兹",162分钟,2010-01-04,"['动作', '科幻', '冒险']","美国,英国",171507,http://maoyan.com/films/243
﻿72,心灵捕手,8.4,格斯·范·桑特,"罗宾·威廉姆斯,马特·达蒙,明妮·德里弗",126分钟,1997-12-05(美国),['剧情'],美国,,http://maoyan.com/films/1575
﻿73,疯狂动物城,9.5,拜伦·霍华德,"金妮弗·古德温,杰森·贝特曼,伊德瑞斯·艾尔巴",109分钟,2016-03-04,"['动画', '动作', '冒险']",美国,153190,http://maoyan.com/films/246286
﻿74,心灵奇旅,9.2,彼特·道格特,"杰米·福克斯,蒂娜·菲,菲利西亚·拉斯海德",101分钟,2020-12-25,"['动画', '喜剧', '冒险']",美国,37618,http://maoyan.com/films/553231
﻿75,辩护人,8.8,杨宇硕,"宋康昊,郭度沅,吴达洙",127分钟,2013-12-18(韩国),['剧情'],韩国,,http://maoyan.com/films/246433
﻿76,大话西游之大圣娶亲,8.8,刘镇伟,"周星驰,朱茵,莫文蔚",110分钟,2014-10-24,"['喜剧', '爱情', '动作', '奇幻']",中国大陆,18683,http://maoyan.com/films/158
﻿77,控方证人,8.5,比利·怀德,"泰隆·鲍华,玛琳·黛德丽,查尔斯·劳顿",116分钟,1957-12-17(美国),"['剧情', '悬疑', '犯罪']",美国,,http://maoyan.com/films/4430
﻿78,素媛,9.1,李濬益,"李甄,薛耿求,严智苑",122分钟,2013-10-02(韩国),['剧情'],韩国,,http://maoyan.com/films/78538
﻿79,天空之城,9.0,宫崎骏,"寺田农,鹫尾真知子,龟山助清",125分钟,1992-05-01,"['动画', '奇幻', '冒险']",日本,,http://maoyan.com/films/1228
﻿80,无间道,9.1,刘伟强,"刘德华,梁朝伟,黄秋生",101分钟,2003-09-05,"['剧情', '犯罪']",中国香港,2,http://maoyan.com/films/224973
﻿81,重庆森林,8.6,王家卫,"梁朝伟,王菲,金城武",102分钟,1994-07-14(中国香港),"['剧情', '悬疑', '爱情']",中国香港,,http://maoyan.com/films/1290
﻿82,剪刀手爱德华,8.8,蒂姆·波顿,"约翰尼·德普,薇诺娜·瑞德,黛安娜·维斯特",105分钟,1990-12-06(美国),"['剧情', '爱情', '奇幻']",美国,,http://maoyan.com/films/513
﻿83,十二怒汉,9.1,西德尼·吕美特,"亨利·方达,李·科布,马丁·鲍尔萨姆",159分钟,1957-04-13(美国),"['剧情', '悬疑']",美国,,http://maoyan.com/films/2049
﻿84,断背山,8.9,李安,"希斯·莱杰,杰克·吉伦哈尔,米歇尔·威廉姆斯",134分钟,2005-09-02(意大利),"['剧情', '爱情', '家庭']","美国,加拿大",,http://maoyan.com/films/14652
﻿85,两杆大烟枪,8.7,盖·里奇,"杰森·弗莱明,德克斯特·弗莱彻,杰森•斯坦森",107分钟,1998-08-28(英国),"['惊悚', '剧情', '犯罪', '喜剧']",英国,,http://maoyan.com/films/2204
﻿86,时空恋旅人,8.9,理查德·柯蒂斯,"瑞秋·麦克亚当斯,多姆纳尔·格里森,比尔·奈伊",123分钟,2013-09-04(英国),"['喜剧', '爱情', '奇幻']",英国,,http://maoyan.com/films/78312
﻿87,釜山行,8.9,延尚昊,"孔刘,郑有美,马东锡",118分钟,2016-05-13(法国),"['动作', '惊悚', '灾难']",韩国,,http://maoyan.com/films/343203
﻿88,波西米亚狂想曲,9.4,布莱恩·辛格,"拉米·马雷克,本·哈迪,约瑟夫•梅泽罗",134分钟,2019-03-22,"['剧情', '音乐', '传记']",英国,9907,http://maoyan.com/films/1167831
﻿89,钢琴家,8.9,罗曼·波兰斯基,"艾德里安·布洛迪,艾米莉娅·福克斯,米哈乌·热布罗夫斯基",150分钟,2002-05-24(法国),"['剧情', '音乐', '传记', '战争']","法国,德国,英国,波兰",,http://maoyan.com/films/4883
﻿90,大鱼,8.6,蒂姆·波顿,"伊万·麦克格雷格,阿尔伯特·芬尼,杰西卡·兰格",125分钟,2003-12-04(美国),['奇幻'],美国,,http://maoyan.com/films/1202
﻿91,猫鼠游戏,8.6,史蒂文·斯皮尔伯格,"莱昂纳多·迪卡普里奥,汤姆·汉克斯,克里斯托弗·沃肯",141分钟,2003-04-11,"['剧情', '传记', '犯罪']","美国,加拿大",1200,http://maoyan.com/films/11105
﻿92,鬼子来了,8.9,姜文,"姜文,姜宏波,陈强",162分钟,2000-05-13(法国),"['剧情', '战争']",中国大陆,,http://maoyan.com/films/1262
﻿93,网络谜踪,8.6,阿尼什·查甘蒂,"约翰·赵,米切尔·拉,黛博拉·梅辛",102分钟,2018-12-14,"['剧情', '悬疑', '犯罪']",美国,3049,http://maoyan.com/films/1219776
﻿94,模仿游戏,9.3,莫滕·泰杜姆,"本尼迪克特·康伯巴奇,凯拉·奈特莉,马修·古迪",114分钟,2015-07-21,"['剧情', '战争', '传记']",英国,5247,http://maoyan.com/films/78646
﻿95,奇迹男孩,9.2,斯蒂芬·卓博斯基,"雅各布·特瑞布雷,朱莉娅·罗伯茨,欧文·威尔逊",113分钟,2018-01-19,"['剧情', '家庭']",美国,19151,http://maoyan.com/films/672130
﻿96,饮食男女,8.8,李安,"郎雄,吴倩莲,杨贵媚",124分钟,1994-08-03(美国),"['剧情', '家庭']","中国台湾,美国",,http://maoyan.com/films/1233
﻿97,蝙蝠侠：黑暗骑士,9.3,克里斯托弗·诺兰,"克里斯蒂安·贝尔,希斯·莱杰,阿伦·伊克哈特",152分钟,2008-07-14(阿根廷),"['剧情', '动作', '科幻', '惊悚']","美国,英国",,http://maoyan.com/films/790
﻿98,二十二,9.2,郭柯,"毛银梅,何玉珍,李凤云",99分钟,2017-08-14,['纪录片'],中国大陆,17062,http://maoyan.com/films/615739
﻿99,真爱至上,8.6,理查德·柯蒂斯,"休·格兰特,比尔·奈伊,连姆·尼森",135分钟,2003-11-21(英国),"['剧情', '喜剧', '爱情']","英国,美国,法国",,http://maoyan.com/films/1379
﻿100,致命魔术,8.8,克里斯托弗·诺兰,"休·杰克曼,克里斯蒂安·贝尔,迈克尔·凯恩",130分钟,2006-10-17(意大利),"['剧情', '悬疑', '惊悚']","美国,英国",,http://maoyan.com/films/20131
100,致命魔术,8.8,克里斯托弗·诺兰,"休·杰克曼,克里斯蒂安·贝尔,迈克尔·凯恩",130分钟,2006-10-17(意大利),"['剧情', '悬疑', '惊悚']","美国,英国",,http://maoyan.com/films/20131
